"ASI1";"ASI2";"ASI3";"ASI4";"ASI5";"ASI6";"ASI7";"ASI8";"ASI9";"ASI10";"ASI11";"ASI12";"ASI13";"ASI14";"ASI15";"ASI16";"ASI17";"ASI18";"ASI19";"ASI20";"ASI21";"ASI22";"ASI";"HS";"BS"
4;4;2;4;5;4;5;2;3;3;2;4;4;5;2;4;1;2;1;1;2;4;68;38;30
4;1;4;1;1;4;1;1;1;1;1;4;1;1;1;1;1;4;1;1;1;1;37;14;23
3;3;3;4;3;5;1;3;3;2;1;2;1;1;1;1;2;3;1;1;1;1;46;21;25
1;4;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;34;19;15
1;4;1;4;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;18;14
3;4;2;3;4;4;4;3;4;2;2;3;2;1;2;2;3;4;3;4;2;3;64;30;34
2;4;1;4;4;4;5;1;2;4;4;4;2;4;2;4;1;2;1;1;5;1;62;42;20
2;3;3;3;2;4;4;2;3;2;2;2;2;2;2;3;2;4;2;2;2;2;55;29;26
1;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;67;35;32
2;2;3;4;2;5;4;2;3;2;2;2;2;2;3;3;2;4;2;2;2;2;57;30;27
1;3;3;3;3;5;4;1;1;1;1;1;1;1;1;1;1;3;3;1;1;4;44;22;22
1;4;2;5;4;5;5;3;2;3;2;1;1;3;3;5;1;4;3;2;3;3;65;41;24
2;4;3;4;5;4;5;4;5;4;2;2;2;4;2;2;3;4;3;1;2;4;71;38;33
1;4;3;3;2;5;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;38;19;19
4;3;5;5;5;2;5;4;5;2;2;4;4;2;1;4;5;4;4;4;1;3;78;34;44
1;3;3;4;3;5;3;2;3;3;3;2;2;3;3;3;3;3;3;3;3;3;64;34;30
2;4;1;2;3;1;2;1;2;2;2;3;1;3;3;3;3;4;2;3;1;3;51;29;22
1;5;5;5;4;1;5;1;4;3;3;1;5;4;5;5;5;5;1;1;3;3;75;47;28
1;1;1;1;1;5;5;4;4;4;4;1;1;4;1;5;1;1;1;4;4;4;58;31;27
5;4;1;4;5;3;5;5;5;2;3;5;5;3;3;3;5;4;5;2;2;5;84;38;46
3;4;3;4;5;4;5;5;5;4;4;4;3;4;2;3;5;3;3;1;4;2;80;42;38
2;4;1;2;2;2;2;1;4;1;1;2;1;1;1;2;1;2;1;1;1;1;36;19;17
3;5;4;4;4;5;4;1;4;3;3;3;1;2;1;3;1;3;4;1;3;3;65;35;30
3;2;5;5;5;2;5;1;5;3;5;5;3;5;1;5;3;5;1;1;4;2;76;45;31
2;3;4;2;3;3;1;3;4;2;1;4;1;2;2;2;1;3;1;1;2;2;49;23;26
4;4;4;4;5;2;4;5;4;4;4;4;4;3;4;4;3;4;5;2;4;3;84;44;40
2;1;4;3;4;5;3;4;4;1;2;1;1;2;2;4;3;2;1;3;1;3;56;25;31
2;3;4;4;5;3;4;4;3;4;4;4;5;4;4;4;2;4;4;2;4;4;81;44;37
4;2;4;3;4;2;4;4;4;2;4;5;4;4;3;4;4;5;5;2;3;4;80;38;42
1;2;4;5;4;5;4;2;4;1;3;1;1;4;3;4;1;3;3;1;3;3;62;36;26
2;2;2;1;2;4;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;32;15;17
2;3;3;3;3;3;1;2;4;3;3;4;3;2;3;3;2;2;3;1;1;2;56;27;29
1;3;1;3;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;15;14
5;4;5;5;3;2;1;3;5;2;1;5;3;3;1;1;5;3;3;5;2;4;71;26;45
1;3;2;2;2;5;3;1;3;3;1;1;1;2;1;3;1;3;1;5;3;3;50;26;24
1;5;3;5;4;1;4;3;3;3;3;1;1;4;3;3;1;4;3;1;4;3;63;42;21
2;1;2;5;4;5;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;38;18;20
